state,year,gdp
Colorado,2010,256771.8
Colorado,2011,266114.1
Colorado,2012,274738.8
Colorado,2013,291265.3
Colorado,2014,309223.9
Colorado,2015,320895.9
Colorado,2016,330565.9
Colorado,2017,350209.1
Colorado,2018,373923.1
Colorado,2019,397843.6
Colorado,2020,396741.9
Colorado,2021,445835.7
Colorado,2022,494672.8
Colorado,2023,529626.5
Connecticut,1997,138467
Connecticut,1998,145299.2
Connecticut,1999,152093.7
Connecticut,2000,165523.4
Connecticut,2001,171124.4
Connecticut,2002,172929.7
Connecticut,2003,177814.8
Connecticut,2004,194722.9
Connecticut,2005,204504.6
Connecticut,2006,219812.2
Connecticut,2007,232626.8
Connecticut,2008,236110.7
Connecticut,2009,231628
Connecticut,2010,234022.2
Connecticut,2011,233058.7
Connecticut,2012,239907.5
Connecticut,2013,240549.2
Connecticut,2014,247114.7
Connecticut,2015,260648.5
Connecticut,2016,264760.4
Connecticut,2017,273875.1
Connecticut,2018,280535.4
Connecticut,2019,286451.9
Connecticut,2020,278029.4
Connecticut,2021,296801.3
Connecticut,2022,321686.4
Connecticut,2023,345911.9
District of Columbia,1997,52581.6
District of Columbia,1998,54877.4
District of Columbia,1999,58948.8
District of Columbia,2000,61267.7
District of Columbia,2001,65620
District of Columbia,2002,70078
District of Columbia,2003,74047
District of Columbia,2004,80600.7
District of Columbia,2005,85414.5
District of Columbia,2006,88350.9
District of Columbia,2007,94013.8
District of Columbia,2008,99240.4
District of Columbia,2009,100430.1
District of Columbia,2010,106128.6
District of Columbia,2011,109953.9
District of Columbia,2012,112512.7
District of Columbia,2013,114832.7
District of Columbia,2014,119998
District of Columbia,2015,124753.6
District of Columbia,2016,129933.5
District of Columbia,2017,134298.8
District of Columbia,2018,141240.2
District of Columbia,2019,145071.4
District of Columbia,2020,146660.1
District of Columbia,2021,156537.5
District of Columbia,2022,165768.4
District of Columbia,2023,176501.7
Delaware,1997,33302.2
Delaware,1998,37170.6
Delaware,1999,40446.5
Delaware,2000,43559.6
Delaware,2001,46373.8
Delaware,2002,45865.4
Delaware,2003,47839.6
Delaware,2004,51674.1
Delaware,2005,52048.6
Delaware,2006,55567.7
Delaware,2007,56705.6
Delaware,2008,55250.8
Delaware,2009,57729.9
Delaware,2010,58132.2
Delaware,2011,61379.4
Delaware,2012,62342.1
Delaware,2013,62058.2
Delaware,2014,68606
Delaware,2015,72352.5
Delaware,2016,70021.5
Delaware,2017,69555.6
Delaware,2018,73376
Delaware,2019,78710.5
Delaware,2020,77520.3
Delaware,2021,83069.8
Delaware,2022,92558.2
Delaware,2023,98068.7
Florida,1997,401744.2
Florida,1998,428595.6
Florida,1999,457607
Florida,2000,490094.4
Florida,2001,519140.7
Florida,2002,553359.9
Florida,2003,590284.8
Florida,2004,647041.8
Florida,2005,704890.3
Florida,2006,749925
Florida,2007,781947.3
Florida,2008,767357.8
Florida,2009,739322.4
Florida,2010,752998.4
Florida,2011,761043.1
Florida,2012,784545.9
Florida,2013,819679.8
Florida,2014,860112.6
Florida,2015,918464.3
Florida,2016,964500.8
Florida,2017,1014866.9
Florida,2018,1072085.6
Florida,2019,1133718
Florida,2020,1142004.4
Florida,2021,1298631.2
Florida,2022,1465281.1
Florida,2023,1600810.6
Georgia,1997,242371.9
Georgia,1998,265146.4
Georgia,1999,289048.9
Georgia,2000,305323.7
Georgia,2001,316872.7
Georgia,2002,326017.9
Georgia,2003,339540.5
Georgia,2004,364530.1
Georgia,2005,388707.2
Georgia,2006,405664.2
Georgia,2007,419384.8
Georgia,2008,416303.5
Georgia,2009,409876.2
Georgia,2010,419013.1
Georgia,2011,433137.1
Georgia,2012,449375.6
Georgia,2013,467559.5
Georgia,2014,493370.3
Georgia,2015,525516.8
Georgia,2016,554903.2
Georgia,2017,583543.3
Georgia,2018,612803.4
Georgia,2019,646695.8
Georgia,2020,640223.6
Georgia,2021,705546.7
Georgia,2022,779684
Georgia,2023,831827.7
Hawaii,1997,37701.7
Hawaii,1998,37503
Hawaii,1999,38970.4
Hawaii,2000,41089.4
Hawaii,2001,42500.2
Hawaii,2002,44949.5
Hawaii,2003,48420.7
Hawaii,2004,52625.7
Hawaii,2005,57211.8
Hawaii,2006,60848
Hawaii,2007,64106
Hawaii,2008,65545.5
Hawaii,2009,64464.3
Hawaii,2010,66739.3
Hawaii,2011,68801.1
Hawaii,2012,71645.6
Hawaii,2013,74598.5
Hawaii,2014,77043
Hawaii,2015,81410.2
Hawaii,2016,84287.2
Hawaii,2017,87436.4
Hawaii,2018,90933.5
Hawaii,2019,93240.2
Hawaii,2020,84885.8
Hawaii,2021,93400.4
Hawaii,2022,103153.1
Hawaii,2023,110265.4
Iowa,1997,82808.8
Iowa,1998,84629.7
Iowa,1999,87774.3
Iowa,2000,93125.6
Iowa,2001,94922.6
Iowa,2002,98669.4
Iowa,2003,105329.7
Iowa,2004,117149.8
Iowa,2005,122866.1
Iowa,2006,127670.8
Iowa,2007,137590.2
Iowa,2008,137749.2
Iowa,2009,137094.3
Iowa,2010,142497.7
Iowa,2011,149026.1
Iowa,2012,158553.1
Iowa,2013,162415
Iowa,2014,173734.2
Iowa,2015,181471.7
Iowa,2016,183834.8
Iowa,2017,187125
Iowa,2018,193155.1
Iowa,2019,196262.5
Iowa,2020,198609.6
Iowa,2021,223870.9
Iowa,2022,242752.9
Iowa,2023,254032
Idaho,1997,29699.5
Idaho,1998,31352.7
Idaho,1999,34512.8
Idaho,2000,38344.1
Idaho,2001,37740.9
Idaho,2002,38990.7
Idaho,2003,40778.6
Idaho,2004,44732.9
Idaho,2005,48805.1
Idaho,2006,51099
Idaho,2007,53712.4
Idaho,2008,56203.6
Idaho,2009,54507.9
Idaho,2010,56086.2
Idaho,2011,57418.2
Idaho,2012,57933.7
Idaho,2013,61712.6
Idaho,2014,64501.7
Idaho,2015,66064.9
Idaho,2016,69185.2
Idaho,2017,72935.1
Idaho,2018,79072.4
Idaho,2019,84429.4
Idaho,2020,88099.3
Idaho,2021,99839.1
Idaho,2022,112290.1
Idaho,2023,120958.3
Illinois,1997,416015.1
Illinois,1998,436533.4
Illinois,1999,459971.6
Illinois,2000,486089.7
Illinois,2001,499618.4
Illinois,2002,511485.9
Illinois,2003,528577
Illinois,2004,560079.8
Illinois,2005,589153.7
Illinois,2006,624068.1
Illinois,2007,649307.4
Illinois,2008,649677.3
Illinois,2009,645843.2
Illinois,2010,663929
Illinois,2011,691805.5
Illinois,2012,725478
Illinois,2013,742890.9
Illinois,2014,772291.7
Illinois,2015,802592
Illinois,2016,813561.6
Illinois,2017,832826.8
Illinois,2018,871024.2
Illinois,2019,895601.8
Illinois,2020,860672.8
Illinois,2021,946776.2
Illinois,2022,1040353.3
Illinois,2023,1098346.1
Indiana,1997,170924.6
Indiana,1998,185336.3
Indiana,1999,193659.9
Indiana,2000,204147.3
Indiana,2001,205325.1
Indiana,2002,213419.6
Indiana,2003,225349.3
Indiana,2004,239278.5
Indiana,2005,247428.3
Indiana,2006,259030.3
Indiana,2007,273340.8
Indiana,2008,277774.5
Indiana,2009,264925
Indiana,2010,284685.8
Indiana,2011,292373.8
Indiana,2012,301277.4
Indiana,2013,313466.9
Indiana,2014,329360.9
Indiana,2015,333163.8
Indiana,2016,342716.6
Indiana,2017,357535.8
Indiana,2018,377376.9
Indiana,2019,384838.7
Indiana,2020,378633.6
Indiana,2021,425863.8
Indiana,2022,473492.9
Indiana,2023,499503.1
Kansas,1997,74643.2
Kansas,1998,78242.3
Kansas,1999,81609.7
Kansas,2000,85990.5
Kansas,2001,88869.7
Kansas,2002,91359
Kansas,2003,95236.3
Kansas,2004,98913.7
Kansas,2005,105343.9
Kansas,2006,113831.8
Kansas,2007,123608.9
Kansas,2008,129223.2
Kansas,2009,126049.7
Kansas,2010,129235.7
Kansas,2011,136747.1
Kansas,2012,141812.1
Kansas,2013,144999.3
Kansas,2014,150276.1
Kansas,2015,155699
Kansas,2016,162144.5
Kansas,2017,166273.6
Kansas,2018,173373
Kansas,2019,176068.8
Kansas,2020,177209.6
Kansas,2021,191738.1
Kansas,2022,212611.6
Kansas,2023,228232.4
Kentucky,1997,104878.1
Kentucky,1998,110020.1
Kentucky,1999,115592.7
Kentucky,2000,114549.6
Kentucky,2001,117767.9
Kentucky,2002,122731.2
Kentucky,2003,128289.6
Kentucky,2004,135694.5
Kentucky,2005,144914.9
Kentucky,2006,153009.8
Kentucky,2007,156900
Kentucky,2008,160700.2
Kentucky,2009,157440.1
Kentucky,2010,166656.3
Kentucky,2011,171238.1
Kentucky,2012,178370.6
Kentucky,2013,184920.6
Kentucky,2014,188326.4
Kentucky,2015,194621.2
Kentucky,2016,197944.8
Kentucky,2017,203564
Kentucky,2018,210509.1
Kentucky,2019,220678.8
Kentucky,2020,218539.7
Kentucky,2021,238428.9
Kentucky,2022,261540.7
Kentucky,2023,279707.5
Louisiana,1997,116423.1
Louisiana,1998,120228.8
Louisiana,1999,125667.3
Louisiana,2000,132375.8
Louisiana,2001,138204.3
Louisiana,2002,140082.8
Louisiana,2003,155198.7
Louisiana,2004,170999.6
Louisiana,2005,199314.2
Louisiana,2006,207249.8
Louisiana,2007,203771.3
Louisiana,2008,213803.5
Louisiana,2009,206111.5
Louisiana,2010,226555.6
Louisiana,2011,230518.7
Louisiana,2012,235960.9
Louisiana,2013,231652.7
Louisiana,2014,240965
Louisiana,2015,234324.2
Louisiana,2016,227440.3
Louisiana,2017,239830.7
Louisiana,2018,256444.4
Louisiana,2019,257499
Louisiana,2020,236216.3
Louisiana,2021,267263.6
Louisiana,2022,298424.5
Louisiana,2023,314988.6
Massachusetts,1997,236435.6
Massachusetts,1998,247686.8
Massachusetts,1999,262868.8
Massachusetts,2000,287091.4
Massachusetts,2001,294876.4
Massachusetts,2002,299915.8
Massachusetts,2003,309736.1
Massachusetts,2004,324919
Massachusetts,2005,340637.8
Massachusetts,2006,358418.3
Massachusetts,2007,377985.6
Massachusetts,2008,387923.4
Massachusetts,2009,388963.9
Massachusetts,2010,409270
Massachusetts,2011,423684.9
Massachusetts,2012,441373.9
Massachusetts,2013,452580.4
Massachusetts,2014,469824.9
Massachusetts,2015,497767
Massachusetts,2016,514108
Massachusetts,2017,530129.4
Massachusetts,2018,559605
Massachusetts,2019,588069.5
Massachusetts,2020,592653
Massachusetts,2021,649511.4
Massachusetts,2022,695612.1
Massachusetts,2023,736296.3
Maryland,1997,159167.8
Maryland,1998,169360.1
Maryland,1999,179779.6
Maryland,2000,191430.2
Maryland,2001,205276
Maryland,2002,217001.4
Maryland,2003,226803.4
Maryland,2004,243449.8
Maryland,2005,261795.3
Maryland,2006,273791
Maryland,2007,282618.2
Maryland,2008,292908.3
Maryland,2009,298282.8
Maryland,2010,313930.5
Maryland,2011,324920.9
Maryland,2012,331869
Maryland,2013,339895.8
Maryland,2014,351743.1
Maryland,2015,367314.1
Maryland,2016,386496.4
Maryland,2017,399714.5
Maryland,2018,410771.8
Maryland,2019,419391.6
Maryland,2020,413455.4
Maryland,2021,447753.6
Maryland,2022,484907.6
Maryland,2023,515607.3
Maine,1997,30574.2
Maine,1998,32412.8
Maine,1999,34714.7
Maine,2000,37222
Maine,2001,38925.7
Maine,2002,40664.1
Maine,2003,42493.4
Maine,2004,45233.1
Maine,2005,47028.1
Maine,2006,48889.3
Maine,2007,50291.3
Maine,2008,51001.9
Maine,2009,51451.2
Maine,2010,52802.5
Maine,2011,53104.5
Maine,2012,54018.5
Maine,2013,54924.8
Maine,2014,56537.4
Maine,2015,58755.8
Maine,2016,61092.2
Maine,2017,63000.6
Maine,2018,66216
Maine,2019,69708.7
Maine,2020,72077.1
Maine,2021,79193.9
Maine,2022,86493.3
Maine,2023,93270
Michigan,1997,299832.7
Michigan,1998,311088.2
Michigan,1999,337150.2
Michigan,2000,351879.5
Michigan,2001,349127.5
Michigan,2002,363372.1
Michigan,2003,376123.8
Michigan,2004,388764.6
Michigan,2005,402828.8
Michigan,2006,402537.3
Michigan,2007,410613
Michigan,2008,391633.6
Michigan,2009,371707
Michigan,2010,393179.6
Michigan,2011,408354.1
Michigan,2012,426141.1
Michigan,2013,441470.8
Michigan,2014,456123.5
Michigan,2015,479222.7
Michigan,2016,494752.5
Michigan,2017,505101.5
Michigan,2018,525240.8
Michigan,2019,540237.3
Michigan,2020,529675.6
Michigan,2021,575116.4
Michigan,2022,627009.1
Michigan,2023,673818.1
Minnesota,1997,157345.9
Minnesota,1998,167867.4
Minnesota,1999,176780.4
Minnesota,2000,192389.5
Minnesota,2001,196869.4
Minnesota,2002,204061.1
Minnesota,2003,215975.1
Minnesota,2004,231949.4
Minnesota,2005,244635.4
Minnesota,2006,252357.6
Minnesota,2007,261250.7
Minnesota,2008,268771.5
Minnesota,2009,262628.8
Minnesota,2010,274649.2
Minnesota,2011,287070.8
Minnesota,2012,298641.4
Minnesota,2013,311752.1
Minnesota,2014,324701.5
Minnesota,2015,336762
Minnesota,2016,345248.8
Minnesota,2017,354721.9
Minnesota,2018,372439.2
Minnesota,2019,384850.2
Minnesota,2020,378746.6
Minnesota,2021,416538.7
Minnesota,2022,454992.8
Minnesota,2023,483162.1
Missouri,1997,163101.1
Missouri,1998,170122.2
Missouri,1999,178215.9
Missouri,2000,187012.8
Missouri,2001,190388.7
Missouri,2002,197399
Missouri,2003,206005.2
Missouri,2004,216977.5
Missouri,2005,227594.6
Missouri,2006,235816.9
Missouri,2007,244085.3
Missouri,2008,256431.1
Missouri,2009,254306.2
Missouri,2010,262013.4
Missouri,2011,263330
Missouri,2012,272482.4
Missouri,2013,282659.7
Missouri,2014,289340.7
Missouri,2015,299597.7
Missouri,2016,304143.3
Missouri,2017,311273.8
Missouri,2018,320451.6
Missouri,2019,334750.2
Missouri,2020,335285.1
Missouri,2021,366441.5
Missouri,2022,400265.1
Missouri,2023,430114.4
Mississippi,1997,58517.2
Mississippi,1998,61332.3
Mississippi,1999,64276.5
Mississippi,2000,66051.5
Mississippi,2001,67750.2
Mississippi,2002,69704.9
Mississippi,2003,74418.4
Mississippi,2004,78680.1
Mississippi,2005,82991.6
Mississippi,2006,87596.7
Mississippi,2007,91876.5
Mississippi,2008,95179.3
Mississippi,2009,92378
Mississippi,2010,94788.3
Mississippi,2011,96799.1
Mississippi,2012,100905.4
Mississippi,2013,103042.6
Mississippi,2014,105219.5
Mississippi,2015,106623.9
Mississippi,2016,107795.4
Mississippi,2017,110281.4
Mississippi,2018,113166.4
Mississippi,2019,116135.7
Mississippi,2020,116709.4
Mississippi,2021,129944.7
Mississippi,2022,142762.3
Mississippi,2023,151146.7
Montana,1997,19301.7
Montana,1998,20414.4
Montana,1999,20815.1
Montana,2000,21935.4
Montana,2001,22798
Montana,2002,23886
Montana,2003,25781.1
Montana,2004,28138.8
Montana,2005,30823.7
Montana,2006,33088
Montana,2007,36116.1
Montana,2008,37028
Montana,2009,35880
Montana,2010,38080.3
Montana,2011,40592.3
Montana,2012,42150.2
Montana,2013,43584
Montana,2014,45203.8
Montana,2015,46542.4
Montana,2016,45859.4
Montana,2017,48470.5
Montana,2018,51152.1
Montana,2019,52715.6
Montana,2020,52958.8
Montana,2021,60399.7
Montana,2022,68702
Montana,2023,73254.5
North Carolina,1997,234571.9
North Carolina,1998,246721.8
North Carolina,1999,264924.3
North Carolina,2000,277556.1
North Carolina,2001,287317.1
North Carolina,2002,297653
North Carolina,2003,310200.3
North Carolina,2004,329017.7
North Carolina,2005,354798.5
North Carolina,2006,388012.1
North Carolina,2007,402188.3
North Carolina,2008,420707.2
North Carolina,2009,413096.8
North Carolina,2010,422282.2
North Carolina,2011,430040.1
North Carolina,2012,444063.2
North Carolina,2013,460946.4
North Carolina,2014,482295.7
North Carolina,2015,508672.4
North Carolina,2016,528284.3
North Carolina,2017,546810.1
North Carolina,2018,568037.3
North Carolina,2019,592449.6
North Carolina,2020,600683.3
North Carolina,2021,662147.1
North Carolina,2022,728498.7
North Carolina,2023,788103.2
North Dakota,1997,15796.6
North Dakota,1998,16842.7
North Dakota,1999,17083.7
North Dakota,2000,18115.1
North Dakota,2001,18976.9
North Dakota,2002,20195.6
North Dakota,2003,22129.9
North Dakota,2004,23209.6
North Dakota,2005,24572
North Dakota,2006,26406.5
North Dakota,2007,29044.6
North Dakota,2008,32027.7
North Dakota,2009,32310.4
North Dakota,2010,35651.8
North Dakota,2011,41602.1
North Dakota,2012,52079.1
North Dakota,2013,54877
North Dakota,2014,61108.3
North Dakota,2015,56952.2
North Dakota,2016,52666.3
North Dakota,2017,56530.2
North Dakota,2018,60377.1
North Dakota,2019,60892.5
North Dakota,2020,55568.5
North Dakota,2021,63838.5
North Dakota,2022,73780
North Dakota,2023,76043.3
Nebraska,1997,49880
Nebraska,1998,51849.9
Nebraska,1999,53714.2
Nebraska,2000,56582.7
Nebraska,2001,59634.3
Nebraska,2002,61569.5
Nebraska,2003,66471.7
Nebraska,2004,70445.4
Nebraska,2005,74886.7
Nebraska,2006,79287.5
Nebraska,2007,84291.9
Nebraska,2008,86146.6
Nebraska,2009,87325.5
Nebraska,2010,91940.7
Nebraska,2011,100526.5
Nebraska,2012,102949.7
Nebraska,2013,107247
Nebraska,2014,112763.3
Nebraska,2015,117402.3
Nebraska,2016,119389.8
Nebraska,2017,123219.9
Nebraska,2018,127954.4
Nebraska,2019,132848.2
Nebraska,2020,135149.4
Nebraska,2021,150836.1
Nebraska,2022,167480.2
Nebraska,2023,181285
New Hampshire,1997,38122.5
New Hampshire,1998,40747.7
New Hampshire,1999,42292.4
New Hampshire,2000,45604.9
New Hampshire,2001,47037.3
New Hampshire,2002,49109.6
New Hampshire,2003,51609.7
New Hampshire,2004,54545.7
New Hampshire,2005,56914.6
New Hampshire,2006,60152.7
New Hampshire,2007,61984.8
New Hampshire,2008,62095.3
New Hampshire,2009,63052.2
New Hampshire,2010,65310.8
New Hampshire,2011,66557.3
New Hampshire,2012,68412
New Hampshire,2013,70897.4
New Hampshire,2014,73455.1
New Hampshire,2015,77385.8
New Hampshire,2016,79759.7
New Hampshire,2017,81179.6
New Hampshire,2018,83859.4
New Hampshire,2019,87868.2
New Hampshire,2020,88527.7
New Hampshire,2021,99092.6
New Hampshire,2022,106488
New Hampshire,2023,114100.8
New Jersey,1997,307140.9
New Jersey,1998,318104
New Jersey,1999,334966.4
New Jersey,2000,360530.4
New Jersey,2001,372819.2
New Jersey,2002,385045.6
New Jersey,2003,399996.5
New Jersey,2004,415490.8
New Jersey,2005,436064.4
New Jersey,2006,457681.5
New Jersey,2007,474539.6
New Jersey,2008,493289.4
New Jersey,2009,481452.7
New Jersey,2010,491229
New Jersey,2011,494292.8
New Jersey,2012,516098.2
New Jersey,2013,534212.1
New Jersey,2014,543824.1
New Jersey,2015,565807.7
New Jersey,2016,578651.4
New Jersey,2017,590086.7
New Jersey,2018,619340.2
New Jersey,2019,643317.7
New Jersey,2020,631552.3
New Jersey,2021,695443.2
New Jersey,2022,758288.7
New Jersey,2023,806665.2
New Mexico,1997,52575.6
New Mexico,1998,50573.1
New Mexico,1999,52801.9
New Mexico,2000,55002.2
New Mexico,2001,55660.2
New Mexico,2002,57718.3
New Mexico,2003,62867.9
New Mexico,2004,70593.4
New Mexico,2005,74130.9
New Mexico,2006,78008.2
New Mexico,2007,81100.3
New Mexico,2008,84339.7
New Mexico,2009,82641.3
New Mexico,2010,84862.6
New Mexico,2011,87056
New Mexico,2012,87681
New Mexico,2013,88773.3
New Mexico,2014,92523.4
New Mexico,2015,90779.4
New Mexico,2016,90476
New Mexico,2017,93210.1
New Mexico,2018,98838.2
New Mexico,2019,103821
New Mexico,2020,100656.4
New Mexico,2021,112978.5
New Mexico,2022,128138.8
New Mexico,2023,135009.6
Nevada,1997,60255
Nevada,1998,65332.2
Nevada,1999,71825.3
Nevada,2000,77181.5
Nevada,2001,80968.6
Nevada,2002,85541
Nevada,2003,91365
Nevada,2004,104132
Nevada,2005,117165.1
Nevada,2006,126613.4
Nevada,2007,132045.4
Nevada,2008,130570.9
Nevada,2009,122471.2
Nevada,2010,125149
Nevada,2011,128638.4
Nevada,2012,130238.2
Nevada,2013,133592.5
Nevada,2014,136918.4
Nevada,2015,145786.8
Nevada,2016,153318
Nevada,2017,163199.1
Nevada,2018,172547.9
Nevada,2019,184611.1
Nevada,2020,176296.3
Nevada,2021,201705.7
Nevada,2022,227320.6
Nevada,2023,245978.8
New York,1997,716104.7
New York,1998,744958.9
New York,1999,794009.5
New York,2000,839853
New York,2001,876285.2
New York,2002,885386.2
New York,2003,908535.2
New York,2004,958565.3
New York,2005,1009851
New York,2006,1072271.8
New York,2007,1116265.3
New York,2008,1107860.2
New York,2009,1155492.3
New York,2010,1217748
New York,2011,1245769.4
New York,2012,1324471.3
New York,2013,1364632.9
New York,2014,1434606.3
New York,2015,1498474.7
New York,2016,1556830
New York,2017,1624800.7
New York,2018,1710665.6
New York,2019,1787470.9
New York,2020,1773369.8
New York,2021,1923413.3
New York,2022,2052758.8
New York,2023,2172009.6
Ohio,1997,343513.7
Ohio,1998,361479.3
Ohio,1999,375797.2
Ohio,2000,391032.3
Ohio,2001,395864.2
Ohio,2002,411191.1
Ohio,2003,425530.7
Ohio,2004,447813.3
Ohio,2005,470179.5
Ohio,2006,482904
Ohio,2007,497600.1
Ohio,2008,500916.4
Ohio,2009,484407.1
Ohio,2010,500274.2
Ohio,2011,525456.4
Ohio,2012,543035.4
Ohio,2013,566419.9
Ohio,2014,597152.3
Ohio,2015,615275.5
Ohio,2016,627294.7
Ohio,2017,652187.5
Ohio,2018,672540.1
Ohio,2019,702914.8
Ohio,2020,692683.7
Ohio,2021,763595.8
Ohio,2022,832660.7
Ohio,2023,884834.2
Oklahoma,1997,79293.7
Oklahoma,1998,81778.6
Oklahoma,1999,84785.6
Oklahoma,2000,91645.7
Oklahoma,2001,97505.3
Oklahoma,2002,99916.9
Oklahoma,2003,106175.1
Oklahoma,2004,114237.5
Oklahoma,2005,125961.4
Oklahoma,2006,138352.3
Oklahoma,2007,146582.4
Oklahoma,2008,161609
Oklahoma,2009,147332.4
Oklahoma,2010,155267.5
Oklahoma,2011,167207.9
Oklahoma,2012,175361.2
Oklahoma,2013,184104.6
Oklahoma,2014,197074.1
Oklahoma,2015,187364.7
Oklahoma,2016,182238.8
Oklahoma,2017,192538.6
Oklahoma,2018,204193.9
Oklahoma,2019,205992.7
Oklahoma,2020,192516.2
Oklahoma,2021,217786.5
Oklahoma,2022,245976.2
Oklahoma,2023,256689.4
Oregon,1997,101418.2
Oregon,1998,105016.4
Oregon,1999,107513.2
Oregon,2000,117057.2
Oregon,2001,117002.4
Oregon,2002,120556.1
Oregon,2003,126822.1
Oregon,2004,136495.9
Oregon,2005,143556.3
Oregon,2006,153779.6
Oregon,2007,159676.2
Oregon,2008,164122.9
Oregon,2009,159330.4
Oregon,2010,163150.5
Oregon,2011,169693.8
Oregon,2012,173856.8
Oregon,2013,178975.4
Oregon,2014,187837.6
Oregon,2015,200592.6
Oregon,2016,211782.4
Oregon,2017,225534.5
Oregon,2018,238466.9
Oregon,2019,248781.8
Oregon,2020,251577.7
Oregon,2021,275653.1
Oregon,2022,298848
Oregon,2023,318884.1
Pennsylvania,1997,357525.6
Pennsylvania,1998,373515
Pennsylvania,1999,391136.1
Pennsylvania,2000,409330.2
Pennsylvania,2001,428463.7
Pennsylvania,2002,440887.5
Pennsylvania,2003,460478.3
Pennsylvania,2004,486384.5
Pennsylvania,2005,510763.9
Pennsylvania,2006,528771.2
Pennsylvania,2007,563238.6
Pennsylvania,2008,586886.6
Pennsylvania,2009,581219.9
Pennsylvania,2010,604629.6
Pennsylvania,2011,623767.9
Pennsylvania,2012,646434.3
Pennsylvania,2013,670767.4
Pennsylvania,2014,695546.6
Pennsylvania,2015,716534.3
Pennsylvania,2016,733165.9
Pennsylvania,2017,754318
Pennsylvania,2018,780620.7
Pennsylvania,2019,802233.1
Pennsylvania,2020,777000.8
Pennsylvania,2021,844431.8
Pennsylvania,2022,919741.1
Pennsylvania,2023,976360.8
Rhode Island,1997,28963.2
Rhode Island,1998,30835.3
